gender,eye_color,hair_color,skin_tone,face_width,face_height,jaw_shape,chin_prominence,cheekbone_height,nose_size,nose_width,nose_bridge_width,nose_bridge_height,nostril_width,eye_distance,eye_size,eye_shape,eyebrow_thickness,eyebrow_arch,lip_thickness,mouth_width,philtrum_depth,hair_texture,hair_thickness,hairline_shape,freckling,tanning_ability,ear_size,earlobe_attachment,overall_confidence,sample_id
male,blue,brown,very_light,medium,long,square,medium,medium,medium,medium,wide,high,medium,normal,small,hooded,thick,flat,full,medium,deep,wavy,thick,rounded,some,tans_gradually,small,attached,0.8501963414511178,SYNTH_000041
female,green,brown,very_light,wide,medium,oval,medium,medium,medium,wide,medium,medium,narrow,wide,large,round,thick,high,full,medium,medium,wavy,fine,rounded,some,never_burns,small,free,0.8198963040328751,SYNTH_000042
male,green,brown,very_light,medium,short,square,prominent,high,large,wide,narrow,medium,medium,wide,medium,round,thick,slight,full,medium,medium,straight,fine,rounded,some,tans_gradually,medium,attached,0.8218386110103107,SYNTH_000043
male,green,black,very_light,narrow,short,square,prominent,medium,large,wide,wide,flat,medium,wide,large,hooded,medium,flat,thin,wide,deep,straight,medium,straight,some,tans_gradually,medium,free,0.8337128249676012,SYNTH_000044
female,green,brown,light,medium,short,square,prominent,medium,large,wide,medium,medium,medium,close,large,hooded,thick,slight,thin,medium,medium,wavy,thick,straight,some,never_burns,medium,attached,0.860758683364378,SYNTH_000045
female,green,brown,very_light,medium,medium,square,receding,high,medium,wide,narrow,medium,wide,normal,medium,round,thick,high,full,narrow,deep,curly,thick,widow_peak,extensive,burns_easily,medium,free,0.8771503877198441,SYNTH_000046
male,green,brown,very_light,wide,long,square,medium,medium,medium,narrow,medium,medium,wide,normal,large,round,medium,flat,full,wide,medium,wavy,fine,widow_peak,some,never_burns,small,attached,0.8330342199810954,SYNTH_000047
male,blue,black,very_light,wide,medium,square,medium,high,medium,medium,wide,flat,medium,wide,small,round,medium,flat,full,medium,medium,straight,medium,widow_peak,some,tans_gradually,medium,attached,0.7968478554328425,SYNTH_000048
male,blue,brown,very_light,narrow,long,square,medium,medium,large,wide,medium,medium,wide,normal,large,almond,medium,high,thin,wide,deep,straight,medium,widow_peak,some,tans_gradually,medium,attached,0.8193015306043779,SYNTH_000049
female,blue,brown,light,wide,long,square,prominent,medium,large,medium,narrow,flat,medium,normal,large,round,medium,high,thin,medium,deep,wavy,thick,widow_peak,some,never_burns,large,attached,0.880032194410353,SYNTH_000050
male,green,brown,dark,medium,short,square,medium,medium,large,wide,medium,flat,wide,wide,large,round,medium,slight,thin,wide,deep,curly,medium,rounded,extensive,tans_gradually,medium,free,0.8552797955978039,SYNTH_000051
female,brown,brown,dark,medium,long,square,receding,low,medium,wide,medium,medium,wide,close,medium,almond,medium,high,full,narrow,deep,curly,medium,widow_peak,some,tans_gradually,medium,attached,0.8459019553928959,SYNTH_000052
male,blue,brown,very_light,narrow,medium,square,medium,high,small,wide,medium,medium,medium,wide,medium,round,thick,high,full,medium,deep,straight,medium,straight,none,tans_gradually,medium,attached,0.8254072515812932,SYNTH_000053
male,green,brown,light,medium,long,square,prominent,high,large,wide,wide,high,wide,normal,medium,almond,thick,slight,very_full,wide,deep,wavy,medium,rounded,extensive,tans_gradually,small,attached,0.8498917649724997,SYNTH_000054
female,blue,black,very_light,medium,long,square,medium,medium,medium,medium,medium,medium,medium,normal,large,almond,thin,slight,very_full,medium,medium,wavy,medium,straight,some,never_burns,large,free,0.8163145323936647,SYNTH_000055
male,blue,brown,very_light,wide,long,square,prominent,medium,large,narrow,medium,medium,medium,normal,medium,almond,medium,high,very_full,wide,deep,straight,thick,rounded,some,never_burns,large,attached,0.8370669629205313,SYNTH_000056
female,green,brown,light,medium,medium,oval,prominent,high,small,narrow,wide,high,medium,normal,large,round,medium,slight,full,medium,deep,curly,thick,straight,some,tans_gradually,medium,attached,0.8520193742737809,SYNTH_000057
female,green,black,light,wide,medium,square,medium,low,large,medium,wide,flat,medium,normal,large,round,thick,flat,thin,wide,deep,curly,fine,widow_peak,none,tans_gradually,small,free,0.8228992175497786,SYNTH_000058
male,blue,brown,very_light,wide,medium,square,receding,high,large,wide,wide,flat,wide,close,large,round,thick,slight,full,wide,deep,wavy,medium,rounded,extensive,tans_gradually,medium,attached,0.818936422603377,SYNTH_000059
male,green,brown,light,medium,long,square,prominent,medium,medium,wide,medium,medium,medium,close,large,round,thick,slight,full,medium,deep,wavy,medium,rounded,some,tans_gradually,medium,free,0.8764660028742366,SYNTH_000060
male,green,blonde,very_light,medium,medium,square,medium,high,medium,narrow,wide,medium,medium,wide,medium,round,thick,high,thin,narrow,shallow,straight,medium,rounded,extensive,burns_easily,medium,attached,0.8485352315624718,SYNTH_000061
female,blue,brown,very_light,wide,short,square,medium,high,large,narrow,wide,medium,wide,normal,medium,round,thick,flat,very_full,medium,deep,wavy,medium,rounded,extensive,burns_easily,medium,free,0.8468066712859023,SYNTH_000062
male,blue,blonde,dark,narrow,long,square,medium,medium,large,medium,wide,flat,medium,close,large,round,medium,flat,full,medium,deep,straight,thick,straight,some,never_burns,large,attached,0.8236283868972148,SYNTH_000063
male,blue,brown,light,medium,long,oval,receding,low,medium,medium,medium,flat,wide,normal,medium,round,thin,flat,thin,medium,medium,straight,medium,widow_peak,extensive,tans_gradually,small,attached,0.8126643964250276,SYNTH_000064
female,blue,black,very_light,narrow,long,square,medium,medium,medium,medium,wide,medium,wide,close,medium,hooded,medium,flat,very_full,wide,deep,straight,thick,rounded,some,burns_easily,large,free,0.8467629211250561,SYNTH_000065
male,blue,brown,very_light,medium,medium,square,prominent,medium,large,medium,medium,high,medium,normal,medium,hooded,thick,flat,full,medium,medium,curly,medium,straight,extensive,tans_gradually,large,free,0.8706120597837596,SYNTH_000066
male,green,black,very_light,medium,medium,oval,medium,high,large,wide,medium,high,wide,close,large,hooded,medium,high,full,medium,medium,straight,medium,widow_peak,some,tans_gradually,medium,attached,0.8458719307727074,SYNTH_000067
male,green,brown,light,medium,short,square,medium,high,medium,wide,wide,medium,medium,close,medium,round,thick,slight,full,wide,deep,wavy,medium,widow_peak,none,burns_easily,small,attached,0.9202654488368774,SYNTH_000068
male,green,brown,very_light,narrow,medium,oval,medium,low,medium,wide,medium,medium,medium,close,large,round,medium,slight,full,medium,deep,curly,medium,widow_peak,some,tans_gradually,medium,attached,0.8395693156016096,SYNTH_000069
female,green,black,very_light,medium,long,oval,prominent,low,medium,medium,wide,medium,wide,close,large,round,medium,high,thin,medium,deep,wavy,fine,widow_peak,none,never_burns,large,attached,0.8207909097900471,SYNTH_000070
female,blue,black,light,wide,medium,square,receding,medium,large,narrow,medium,high,medium,wide,large,round,medium,slight,thin,narrow,medium,curly,fine,widow_peak,none,never_burns,small,free,0.8452976970849522,SYNTH_000071
female,green,brown,very_light,medium,medium,oval,medium,high,large,medium,medium,medium,medium,wide,large,almond,thick,high,full,medium,medium,wavy,thick,rounded,extensive,burns_easily,small,attached,0.8627232943453824,SYNTH_000072
male,blue,brown,very_light,wide,long,square,medium,medium,small,wide,narrow,medium,medium,normal,small,almond,thick,slight,full,medium,medium,curly,thick,rounded,none,tans_gradually,large,free,0.8497068765218649,SYNTH_000073
male,blue,brown,very_light,wide,long,square,medium,medium,large,medium,wide,medium,wide,wide,medium,hooded,medium,flat,thin,medium,medium,straight,medium,widow_peak,some,burns_easily,medium,attached,0.7973496955131371,SYNTH_000074
female,brown,brown,very_light,narrow,short,square,receding,low,medium,wide,wide,medium,wide,wide,medium,almond,thin,flat,full,narrow,deep,wavy,medium,widow_peak,extensive,tans_gradually,large,free,0.8158713118099289,SYNTH_000075
female,green,black,light,wide,medium,square,medium,high,medium,medium,wide,high,wide,wide,large,round,thin,slight,very_full,medium,shallow,straight,fine,rounded,some,burns_easily,large,attached,0.8279185965984931,SYNTH_000076
male,blue,brown,very_light,wide,long,oval,medium,low,large,medium,narrow,medium,narrow,wide,large,round,thick,flat,very_full,medium,deep,wavy,thick,rounded,some,burns_easily,large,attached,0.8299302461511262,SYNTH_000077
female,green,black,light,wide,short,square,medium,medium,large,medium,wide,high,medium,normal,large,round,thick,flat,full,wide,deep,straight,fine,straight,none,never_burns,medium,free,0.8979614452682368,SYNTH_000078
male,brown,brown,very_light,medium,medium,square,medium,medium,small,medium,narrow,medium,medium,wide,large,round,medium,slight,very_full,wide,deep,wavy,medium,rounded,some,burns_easily,large,free,0.8186796330886065,SYNTH_000079
male,brown,brown,light,narrow,long,narrow,medium,high,medium,wide,medium,medium,medium,wide,large,almond,thick,high,very_full,medium,medium,wavy,fine,straight,some,tans_gradually,medium,attached,0.88320423499149,SYNTH_000080
male,blue,brown,light,medium,medium,oval,prominent,medium,large,wide,medium,high,medium,normal,medium,round,thin,slight,full,wide,deep,wavy,fine,straight,some,tans_gradually,large,free,0.8769945942138719,SYNTH_000081
male,blue,black,dark,narrow,medium,square,medium,high,large,wide,medium,flat,narrow,wide,medium,almond,medium,flat,very_full,medium,medium,wavy,medium,rounded,some,burns_easily,medium,free,0.8117357778149101,SYNTH_000082
male,green,black,very_light,medium,short,square,receding,low,medium,medium,medium,high,wide,close,large,hooded,thick,slight,full,narrow,deep,straight,medium,straight,some,burns_easily,small,attached,0.8168378186312367,SYNTH_000083
female,green,blonde,very_light,narrow,long,oval,medium,medium,large,medium,wide,medium,medium,wide,large,almond,thin,high,very_full,medium,medium,wavy,medium,widow_peak,some,tans_gradually,medium,attached,0.8733440067471868,SYNTH_000084
female,blue,black,light,wide,medium,square,medium,low,medium,medium,wide,high,medium,close,large,round,medium,high,very_full,narrow,medium,curly,fine,straight,some,burns_easily,large,attached,0.8094245969323007,SYNTH_000085
female,blue,brown,light,wide,long,square,medium,medium,medium,narrow,medium,medium,narrow,close,large,round,medium,slight,very_full,medium,deep,wavy,medium,rounded,none,tans_gradually,large,free,0.8407439630230213,SYNTH_000086
female,blue,brown,very_light,wide,long,square,medium,medium,medium,wide,wide,high,wide,normal,small,hooded,medium,slight,full,narrow,medium,curly,thick,rounded,some,tans_gradually,medium,attached,0.808427350618895,SYNTH_000087
female,green,brown,very_light,medium,short,square,medium,high,large,wide,wide,high,medium,close,medium,round,thick,slight,very_full,wide,medium,straight,medium,widow_peak,some,never_burns,small,free,0.8634361420383854,SYNTH_000088
male,blue,brown,very_light,wide,long,square,receding,low,large,narrow,medium,medium,wide,normal,large,round,medium,slight,thin,wide,deep,wavy,medium,rounded,some,never_burns,large,attached,0.8458531525584404,SYNTH_000089
male,green,black,very_light,medium,medium,square,medium,medium,large,medium,wide,high,wide,close,large,almond,medium,high,thin,wide,deep,straight,fine,rounded,some,never_burns,medium,free,0.8359331760724588,SYNTH_000090
female,green,brown,very_light,narrow,medium,square,medium,low,small,medium,medium,medium,wide,normal,medium,round,medium,slight,full,narrow,deep,wavy,thick,widow_peak,some,burns_easily,small,free,0.8530985298580517,SYNTH_000091
male,blue,brown,light,wide,medium,oval,receding,low,large,medium,wide,high,medium,normal,medium,hooded,thick,high,very_full,wide,deep,straight,thick,straight,extensive,tans_gradually,medium,attached,0.8613930682216152,SYNTH_000092
female,blue,brown,light,medium,long,square,prominent,high,medium,narrow,medium,high,medium,normal,large,round,medium,high,very_full,medium,medium,straight,medium,rounded,extensive,tans_gradually,small,attached,0.8542022845609681,SYNTH_000093
male,blue,blonde,very_light,medium,long,oval,medium,medium,small,medium,wide,high,medium,normal,medium,round,thin,slight,full,wide,deep,wavy,fine,straight,some,tans_gradually,medium,free,0.841804118064441,SYNTH_000094
female,blue,brown,very_light,medium,long,square,medium,high,large,medium,medium,medium,wide,normal,medium,round,medium,slight,full,wide,deep,wavy,medium,rounded,extensive,never_burns,medium,free,0.8913663305072156,SYNTH_000095
female,green,black,very_light,narrow,short,oval,receding,medium,large,medium,medium,medium,medium,wide,medium,round,medium,slight,full,medium,deep,straight,medium,straight,some,tans_gradually,medium,free,0.8319377980169304,SYNTH_000096
female,blue,brown,very_light,medium,long,square,medium,high,medium,wide,wide,flat,wide,wide,large,almond,thick,slight,full,medium,medium,wavy,medium,widow_peak,some,burns_easily,medium,free,0.8195084295848503,SYNTH_000097
female,green,brown,very_light,wide,medium,square,medium,low,large,wide,wide,medium,wide,normal,medium,round,medium,slight,full,medium,deep,wavy,thick,rounded,extensive,never_burns,medium,free,0.8339848792209202,SYNTH_000098
male,brown,black,very_light,narrow,medium,oval,prominent,high,large,medium,medium,medium,narrow,normal,large,hooded,medium,slight,full,medium,deep,wavy,thick,rounded,none,tans_gradually,large,free,0.8665298442877638,SYNTH_000099
male,green,blonde,very_light,medium,medium,oval,prominent,high,medium,wide,narrow,medium,medium,wide,large,round,thick,high,very_full,medium,deep,straight,thick,straight,some,tans_gradually,medium,attached,0.7832981732648934,SYNTH_000100
female,blue,brown,light,wide,long,oval,receding,medium,small,wide,wide,medium,narrow,close,large,almond,thick,slight,very_full,medium,deep,wavy,fine,widow_peak,some,tans_gradually,medium,attached,0.8352007333641749,SYNTH_000101
male,blue,black,very_light,medium,medium,square,medium,low,medium,wide,medium,medium,wide,normal,medium,round,medium,slight,very_full,medium,deep,wavy,thick,rounded,some,never_burns,small,attached,0.8095118113052294,SYNTH_000102
male,brown,brown,very_light,wide,medium,square,receding,high,medium,wide,narrow,medium,narrow,wide,large,hooded,thick,slight,thin,wide,deep,straight,medium,rounded,none,never_burns,small,attached,0.866814513806995,SYNTH_000103
male,green,brown,very_light,wide,medium,oval,receding,high,large,wide,wide,flat,medium,normal,large,hooded,thick,high,full,wide,deep,curly,fine,rounded,extensive,tans_gradually,large,attached,0.8232595129920411,SYNTH_000104
male,green,brown,very_light,wide,medium,square,prominent,high,large,wide,wide,flat,medium,normal,large,almond,thick,slight,full,wide,medium,straight,thick,widow_peak,extensive,never_burns,large,free,0.8202611897052918,SYNTH_000105
male,green,brown,very_light,medium,short,square,receding,medium,large,wide,medium,high,wide,normal,medium,round,thick,slight,full,wide,medium,straight,fine,rounded,extensive,tans_gradually,small,free,0.867241024858429,SYNTH_000106
female,blue,black,very_light,medium,long,square,medium,high,large,wide,medium,medium,medium,close,medium,hooded,thick,slight,very_full,medium,medium,wavy,medium,widow_peak,some,never_burns,small,attached,0.8670815749023565,SYNTH_000107
male,green,brown,dark,wide,medium,square,prominent,medium,large,medium,wide,medium,narrow,normal,large,round,medium,flat,thin,narrow,deep,wavy,thick,widow_peak,some,tans_gradually,medium,free,0.8457662802294875,SYNTH_000108
male,green,brown,very_light,wide,short,square,receding,medium,large,medium,wide,high,wide,wide,medium,round,thick,slight,thin,medium,deep,wavy,thick,widow_peak,extensive,tans_gradually,small,attached,0.8572871559189814,SYNTH_000109
male,blue,brown,very_light,medium,medium,square,medium,medium,large,wide,wide,medium,narrow,normal,large,almond,thin,slight,thin,medium,deep,straight,medium,widow_peak,some,burns_easily,small,attached,0.7914948945763688,SYNTH_000110
female,brown,brown,light,medium,medium,oval,receding,low,medium,narrow,wide,high,wide,normal,large,hooded,medium,high,very_full,medium,deep,curly,medium,widow_peak,some,tans_gradually,medium,attached,0.7980002289505557,SYNTH_000111
female,blue,red,very_light,wide,medium,oval,medium,medium,large,medium,wide,medium,medium,normal,large,almond,medium,slight,full,wide,deep,curly,medium,widow_peak,some,tans_gradually,medium,free,0.8663305489448716,SYNTH_000112
male,blue,black,light,medium,medium,square,medium,medium,large,wide,wide,high,medium,normal,medium,hooded,medium,flat,full,medium,deep,wavy,thick,widow_peak,extensive,tans_gradually,medium,attached,0.8410811191903267,SYNTH_000113
male,green,brown,very_light,medium,medium,square,medium,medium,medium,medium,medium,flat,wide,normal,large,hooded,medium,flat,full,wide,deep,wavy,medium,rounded,extensive,tans_gradually,medium,attached,0.8368156290071734,SYNTH_000114
female,blue,brown,light,narrow,long,oval,prominent,medium,medium,wide,wide,medium,wide,close,medium,almond,medium,slight,very_full,medium,deep,wavy,thick,widow_peak,none,never_burns,medium,attached,0.8670076420970049,SYNTH_000115
female,blue,brown,very_light,medium,long,oval,prominent,medium,large,wide,narrow,medium,narrow,close,medium,almond,thick,slight,full,medium,medium,straight,fine,widow_peak,some,burns_easily,small,attached,0.7974890955354409,SYNTH_000116
male,blue,brown,very_light,medium,long,oval,medium,medium,large,wide,narrow,flat,medium,normal,small,hooded,thin,slight,very_full,wide,deep,straight,medium,straight,some,burns_easily,medium,attached,0.8184067025186217,SYNTH_000117
male,green,brown,light,wide,medium,narrow,medium,high,large,wide,medium,medium,wide,normal,large,hooded,medium,slight,very_full,medium,deep,curly,thick,rounded,some,burns_easily,small,free,0.8223614833746721,SYNTH_000118
male,green,brown,very_light,medium,long,narrow,prominent,medium,large,wide,wide,high,wide,normal,large,round,thick,high,thin,narrow,deep,straight,medium,widow_peak,none,never_burns,large,free,0.8366889461798868,SYNTH_000119
male,blue,brown,very_light,narrow,medium,square,medium,low,large,wide,medium,medium,narrow,wide,large,round,medium,slight,full,medium,deep,wavy,medium,straight,some,never_burns,medium,attached,0.8918854855376488,SYNTH_000120
male,blue,brown,very_light,medium,long,oval,receding,high,medium,medium,narrow,medium,medium,normal,large,almond,thick,flat,full,narrow,medium,curly,medium,rounded,extensive,never_burns,medium,free,0.8166989829814926,SYNTH_000121
female,brown,brown,very_light,wide,long,narrow,medium,high,medium,medium,narrow,medium,wide,normal,medium,hooded,medium,flat,very_full,medium,medium,wavy,medium,widow_peak,extensive,never_burns,small,free,0.8458335876430294,SYNTH_000122
male,blue,brown,very_light,narrow,medium,square,medium,low,medium,medium,wide,medium,narrow,wide,small,almond,thick,flat,very_full,wide,deep,wavy,thick,rounded,none,never_burns,large,free,0.8399670477570146,SYNTH_000123
female,blue,brown,very_light,medium,long,square,medium,low,large,wide,wide,medium,narrow,close,large,hooded,medium,slight,full,medium,deep,wavy,medium,widow_peak,extensive,never_burns,small,free,0.8488298791885629,SYNTH_000124
male,blue,brown,light,narrow,medium,square,medium,high,large,wide,narrow,medium,medium,normal,medium,round,thick,high,thin,wide,deep,wavy,medium,widow_peak,extensive,tans_gradually,medium,attached,0.8472813161337751,SYNTH_000125
female,brown,brown,very_light,medium,medium,square,receding,low,large,narrow,medium,medium,medium,normal,large,hooded,medium,flat,very_full,medium,deep,curly,thick,rounded,some,tans_gradually,medium,free,0.8076171407922919,SYNTH_000126
female,brown,brown,very_light,wide,medium,oval,prominent,low,large,narrow,medium,high,wide,normal,medium,round,thick,high,full,medium,medium,wavy,thick,widow_peak,extensive,tans_gradually,medium,free,0.8570927032346976,SYNTH_000127
female,blue,brown,dark,medium,medium,square,medium,medium,medium,narrow,medium,medium,medium,wide,medium,round,medium,flat,full,narrow,shallow,wavy,medium,widow_peak,some,tans_gradually,medium,free,0.8618257271714687,SYNTH_000128
female,blue,brown,very_light,wide,long,square,medium,low,medium,wide,medium,medium,wide,normal,small,hooded,thick,slight,very_full,medium,medium,curly,fine,widow_peak,some,tans_gradually,medium,attached,0.8392497712786139,SYNTH_000129
