sample_id,eye_color,hair_color,skin_tone,eye_confidence,hair_confidence,skin_confidence,image_path
SYNTH_000021,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000021.png
SYNTH_000022,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000022.png
SYNTH_000023,intermediate,brown,medium,0.5238095238095238,1.0,1.0,./synthetic_facial_data\images\SYNTH_000023.png
SYNTH_000024,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000024.png
SYNTH_000025,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000025.png
SYNTH_000026,brown,brown,medium,0.47619047619047616,1.0,1.0,./synthetic_facial_data\images\SYNTH_000026.png
SYNTH_000027,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000027.png
SYNTH_000028,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000028.png
SYNTH_000029,brown,brown,light,0.5476190476190476,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000029.png
SYNTH_000030,brown,brown,medium,0.47619047619047616,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000030.png
SYNTH_000031,intermediate,brown,medium,1.0,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000031.png
SYNTH_000032,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000032.png
SYNTH_000033,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000033.png
SYNTH_000034,brown,brown,medium,0.47619047619047616,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000034.png
SYNTH_000035,brown,brown,light,0.5476190476190476,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000035.png
SYNTH_000036,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000036.png
SYNTH_000037,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000037.png
SYNTH_000038,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000038.png
SYNTH_000039,intermediate,brown,light,1.0,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000039.png
SYNTH_000040,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000040.png
SYNTH_000041,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000041.png
SYNTH_000042,intermediate,brown,medium,0.5238095238095238,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000042.png
SYNTH_000043,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000043.png
SYNTH_000044,intermediate,brown,light,1.0,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000044.png
SYNTH_000045,intermediate,brown,light,0.9285714285714285,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000045.png
SYNTH_000046,intermediate,brown,medium,0.5238095238095238,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000046.png
SYNTH_000047,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000047.png
SYNTH_000048,intermediate,brown,light,0.9285714285714285,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000048.png
SYNTH_000049,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000049.png
SYNTH_000050,intermediate,brown,light,0.9285714285714285,1.0,0.8,./synthetic_facial_data\images\SYNTH_000050.png
SYNTH_000051,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000051.png
SYNTH_000052,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000052.png
SYNTH_000053,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000053.png
SYNTH_000054,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000054.png
SYNTH_000055,intermediate,brown,light,0.9285714285714285,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000055.png
SYNTH_000056,intermediate,brown,light,0.8809523809523808,1.0,1.0,./synthetic_facial_data\images\SYNTH_000056.png
SYNTH_000057,intermediate,brown,light,0.9285714285714285,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000057.png
SYNTH_000058,intermediate,brown,light,1.0,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000058.png
SYNTH_000059,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000059.png
SYNTH_000060,intermediate,brown,light,1.0,1.0,0.8,./synthetic_facial_data\images\SYNTH_000060.png
SYNTH_000061,brown,brown,medium,0.47619047619047616,1.0,1.0,./synthetic_facial_data\images\SYNTH_000061.png
SYNTH_000062,brown,brown,medium,0.47619047619047616,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000062.png
SYNTH_000063,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000063.png
SYNTH_000064,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000064.png
SYNTH_000065,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000065.png
SYNTH_000066,blue,brown,light,0.5476190476190476,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000066.png
SYNTH_000067,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000067.png
SYNTH_000068,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000068.png
SYNTH_000069,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000069.png
SYNTH_000070,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000070.png
SYNTH_000071,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000071.png
SYNTH_000072,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000072.png
SYNTH_000073,intermediate,brown,medium,0.5238095238095238,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000073.png
SYNTH_000074,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000074.png
SYNTH_000075,brown,brown,medium,0.47619047619047616,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000075.png
SYNTH_000076,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000076.png
SYNTH_000077,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000077.png
SYNTH_000078,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000078.png
SYNTH_000079,intermediate,brown,light,0.8809523809523808,1.0,1.0,./synthetic_facial_data\images\SYNTH_000079.png
SYNTH_000080,intermediate,brown,medium,0.5238095238095238,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000080.png
SYNTH_000081,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000081.png
SYNTH_000082,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000082.png
SYNTH_000083,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000083.png
SYNTH_000084,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000084.png
SYNTH_000085,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000085.png
SYNTH_000086,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000086.png
SYNTH_000087,brown,brown,medium,0.47619047619047616,0.8823529411764707,1.0,./synthetic_facial_data\images\SYNTH_000087.png
SYNTH_000088,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000088.png
SYNTH_000089,intermediate,brown,light,0.5238095238095238,1.0,0.8,./synthetic_facial_data\images\SYNTH_000089.png
SYNTH_000090,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000090.png
SYNTH_000091,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000091.png
SYNTH_000092,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000092.png
SYNTH_000093,intermediate,brown,light,0.9285714285714285,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000093.png
SYNTH_000094,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000094.png
SYNTH_000095,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000095.png
SYNTH_000096,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000096.png
SYNTH_000097,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000097.png
SYNTH_000098,brown,brown,light,0.5714285714285714,1.0,0.8,./synthetic_facial_data\images\SYNTH_000098.png
SYNTH_000099,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000099.png
