sex,eye_color,hair_color,skin_tone,face_width,face_height,jaw_shape,chin_prominence,cheekbone_height,nose_size,nose_width,nose_bridge_width,nose_bridge_height,nostril_width,eye_distance,eye_size,eye_shape,eyebrow_thickness,eyebrow_arch,lip_thickness,mouth_width,philtrum_depth,hair_texture,hair_thickness,hairline_shape,freckling,tanning_ability,ear_size,earlobe_attachment,overall_confidence,sample_id
male,blue,brown,very_light,wide,medium,square,prominent,high,medium,medium,medium,medium,medium,wide,large,round,thick,high,full,medium,medium,curly,fine,rounded,extensive,tans_gradually,large,attached,0.8441646251087889,SYNTH_000013
male,blue,brown,very_light,wide,short,oval,medium,low,medium,medium,wide,high,narrow,normal,medium,round,thick,high,very_full,wide,shallow,curly,thick,widow_peak,some,burns_easily,medium,attached,0.8548109490794072,SYNTH_000014
female,green,brown,light,wide,short,square,prominent,high,large,narrow,medium,medium,narrow,close,small,round,thick,flat,full,wide,medium,straight,fine,widow_peak,some,never_burns,large,attached,0.8692556508777389,SYNTH_000015
male,blue,brown,very_light,medium,medium,square,medium,high,medium,medium,wide,flat,narrow,normal,small,almond,thick,slight,thin,wide,medium,straight,fine,rounded,none,burns_easily,large,free,0.8494528746654965,SYNTH_000016
male,green,red,light,wide,medium,oval,medium,high,large,medium,narrow,high,medium,normal,medium,almond,thick,high,very_full,wide,medium,curly,medium,rounded,some,tans_gradually,medium,free,0.8583963361234409,SYNTH_000017
male,blue,black,very_light,wide,long,square,medium,medium,small,narrow,medium,medium,narrow,wide,medium,almond,thick,high,thin,wide,medium,straight,medium,widow_peak,some,tans_gradually,large,free,0.8189428564505601,SYNTH_000018
male,blue,brown,very_light,wide,short,square,medium,high,medium,narrow,medium,high,medium,wide,large,round,thick,slight,thin,wide,medium,wavy,thick,rounded,none,never_burns,large,attached,0.860696489508273,SYNTH_000019
female,blue,brown,very_light,medium,medium,oval,prominent,low,medium,medium,narrow,flat,medium,wide,large,almond,thick,high,full,wide,deep,wavy,medium,rounded,some,never_burns,medium,free,0.8219432833077601,SYNTH_000020
male,green,brown,very_light,wide,long,square,receding,medium,large,wide,wide,medium,medium,normal,medium,round,thick,flat,full,wide,shallow,wavy,fine,widow_peak,extensive,tans_gradually,large,free,0.8606733050835109,SYNTH_000021
female,blue,brown,light,wide,short,square,prominent,low,medium,medium,wide,medium,wide,wide,medium,round,medium,flat,thin,medium,medium,wavy,medium,rounded,some,never_burns,medium,free,0.8620690435740357,SYNTH_000022
male,blue,auburn,light,medium,short,square,prominent,medium,medium,medium,wide,high,narrow,close,medium,round,thick,slight,thin,wide,medium,curly,thick,widow_peak,none,burns_easily,large,attached,0.8496598454752037,SYNTH_000023
female,blue,brown,very_light,wide,medium,square,prominent,medium,medium,medium,medium,high,wide,wide,large,almond,thick,slight,full,wide,deep,straight,medium,rounded,none,burns_easily,small,attached,0.8185047494242614,SYNTH_000024
male,green,brown,very_light,narrow,short,square,medium,medium,small,wide,narrow,medium,wide,normal,small,round,medium,flat,full,wide,medium,straight,medium,straight,some,tans_gradually,large,attached,0.8474265856307026,SYNTH_000025
female,blue,brown,light,medium,short,square,receding,medium,medium,wide,wide,high,medium,wide,large,round,thick,slight,thin,medium,medium,straight,fine,straight,extensive,tans_gradually,medium,attached,0.798604295713873,SYNTH_000026
male,blue,black,very_light,medium,medium,oval,medium,high,small,narrow,medium,medium,wide,wide,medium,almond,thick,slight,full,medium,deep,wavy,medium,rounded,extensive,never_burns,large,free,0.8320544315922105,SYNTH_000027
female,green,black,very_light,wide,medium,square,prominent,medium,large,wide,medium,medium,medium,close,medium,round,thick,flat,thin,wide,deep,wavy,thick,rounded,extensive,never_burns,medium,attached,0.8241179236557027,SYNTH_000028
female,blue,blonde,very_light,wide,short,square,medium,medium,medium,medium,medium,flat,medium,wide,large,hooded,thick,high,thin,wide,deep,straight,thick,widow_peak,some,never_burns,medium,free,0.8328942555862315,SYNTH_000029
male,blue,brown,light,narrow,long,square,medium,medium,medium,wide,wide,flat,narrow,normal,small,round,thick,flat,very_full,wide,medium,wavy,thick,rounded,none,tans_gradually,large,attached,0.8462622508351585,SYNTH_000030
female,blue,brown,very_light,wide,long,square,medium,medium,small,wide,medium,high,wide,wide,small,almond,thick,slight,full,medium,medium,curly,medium,widow_peak,some,burns_easily,large,attached,0.8779720874876797,SYNTH_000031
female,blue,brown,very_light,wide,medium,square,medium,medium,medium,wide,medium,high,medium,normal,medium,almond,thick,high,full,wide,deep,straight,thick,rounded,some,never_burns,medium,free,0.8700984848587463,SYNTH_000032
female,green,brown,very_light,narrow,long,square,medium,medium,medium,wide,medium,high,wide,wide,large,almond,thick,slight,very_full,wide,shallow,curly,medium,widow_peak,some,tans_gradually,small,attached,0.8438645704515296,SYNTH_000033
male,green,brown,very_light,medium,medium,oval,prominent,medium,large,wide,medium,medium,wide,wide,small,almond,thin,slight,thin,wide,deep,straight,medium,widow_peak,some,burns_easily,large,attached,0.8253632305216183,SYNTH_000034
female,blue,auburn,light,wide,medium,square,medium,high,medium,medium,medium,high,narrow,wide,medium,round,thin,flat,very_full,wide,deep,wavy,medium,widow_peak,some,burns_easily,large,free,0.8306058001053688,SYNTH_000035
female,green,black,very_light,narrow,medium,oval,receding,high,small,wide,medium,flat,medium,normal,medium,round,thick,flat,full,wide,shallow,wavy,medium,widow_peak,some,tans_gradually,large,free,0.8816669970127384,SYNTH_000036
male,blue,brown,light,narrow,long,oval,receding,low,large,narrow,medium,high,narrow,wide,medium,round,medium,slight,full,wide,deep,curly,thick,straight,extensive,burns_easily,medium,free,0.8620983868426244,SYNTH_000037
male,green,brown,very_light,wide,long,square,medium,medium,medium,medium,narrow,medium,medium,wide,medium,round,thick,slight,thin,wide,medium,wavy,fine,widow_peak,none,burns_easily,large,attached,0.8657340413534179,SYNTH_000038
female,brown,brown,light,wide,short,oval,receding,low,large,wide,medium,medium,wide,normal,large,round,medium,high,very_full,wide,medium,wavy,medium,rounded,some,burns_easily,medium,free,0.9040473003310426,SYNTH_000039
male,green,brown,very_light,wide,medium,square,medium,high,medium,medium,medium,medium,medium,normal,large,hooded,medium,flat,full,narrow,medium,wavy,medium,straight,none,burns_easily,large,attached,0.8582988091246443,SYNTH_000040
male,blue,brown,light,wide,medium,oval,receding,medium,medium,medium,narrow,high,medium,normal,medium,hooded,thick,slight,very_full,wide,medium,wavy,medium,rounded,some,burns_easily,large,attached,0.828305793799446,SYNTH_000041
male,blue,brown,very_light,medium,medium,square,medium,high,large,wide,narrow,medium,wide,wide,medium,round,medium,slight,full,wide,medium,wavy,medium,rounded,some,tans_gradually,large,free,0.8745293738267977,SYNTH_000042
female,brown,brown,very_light,medium,short,oval,receding,low,medium,wide,medium,high,medium,wide,medium,round,thick,slight,thin,wide,medium,wavy,thick,rounded,none,tans_gradually,medium,attached,0.8389885796578759,SYNTH_000043
female,brown,brown,very_light,wide,short,oval,medium,medium,medium,medium,medium,medium,medium,normal,small,round,medium,slight,full,medium,deep,straight,thick,rounded,some,tans_gradually,large,free,0.8492581285074815,SYNTH_000044
female,green,black,very_light,medium,medium,square,medium,medium,medium,medium,narrow,flat,medium,normal,large,round,medium,slight,very_full,medium,deep,wavy,medium,rounded,none,never_burns,large,free,0.8454588442632324,SYNTH_000045
female,brown,brown,very_light,medium,short,oval,medium,low,large,narrow,wide,medium,medium,normal,medium,round,medium,high,very_full,wide,medium,wavy,thick,rounded,some,tans_gradually,medium,free,0.8268511423386318,SYNTH_000046
female,blue,brown,very_light,wide,long,square,medium,high,medium,medium,wide,flat,wide,normal,medium,almond,thick,slight,thin,wide,medium,curly,thick,rounded,some,never_burns,medium,attached,0.8356446688198199,SYNTH_000047
male,blue,brown,very_light,narrow,short,square,medium,high,medium,medium,medium,medium,narrow,wide,medium,hooded,thick,high,full,medium,medium,straight,medium,widow_peak,none,burns_easily,medium,free,0.85118940798714,SYNTH_000048
male,green,brown,very_light,wide,medium,square,prominent,medium,large,medium,wide,flat,medium,wide,large,round,medium,slight,full,wide,shallow,wavy,thick,straight,some,tans_gradually,large,free,0.8461960277010199,SYNTH_000049
female,blue,blonde,very_light,medium,medium,oval,prominent,high,medium,narrow,narrow,high,narrow,wide,large,round,medium,slight,very_full,medium,deep,straight,medium,widow_peak,some,tans_gradually,medium,free,0.8307918583464005,SYNTH_000050
female,blue,brown,light,medium,medium,square,prominent,medium,medium,wide,narrow,high,medium,wide,medium,round,thick,slight,thin,wide,medium,curly,medium,rounded,none,tans_gradually,medium,attached,0.8543032395244896,SYNTH_000051
female,blue,brown,very_light,narrow,short,oval,medium,high,medium,wide,wide,high,narrow,normal,small,round,medium,slight,full,wide,medium,straight,thick,widow_peak,none,tans_gradually,large,attached,0.8447009705853538,SYNTH_000052
male,blue,brown,very_light,narrow,medium,square,prominent,low,small,narrow,narrow,medium,medium,wide,medium,round,thick,slight,full,wide,deep,straight,thick,rounded,extensive,never_burns,medium,free,0.8337365251946788,SYNTH_000053
male,blue,black,dark,wide,medium,square,prominent,low,medium,medium,medium,medium,wide,wide,medium,almond,medium,high,full,wide,medium,straight,medium,rounded,some,burns_easily,large,free,0.8487063978928887,SYNTH_000054
female,blue,brown,very_light,wide,long,square,medium,medium,medium,medium,medium,medium,medium,normal,medium,round,thick,slight,full,wide,shallow,wavy,fine,rounded,extensive,burns_easily,large,attached,0.8337365251946788,SYNTH_000055
female,green,brown,light,narrow,long,oval,receding,medium,medium,medium,medium,flat,narrow,normal,medium,hooded,thick,slight,full,wide,shallow,wavy,fine,rounded,extensive,tans_gradually,large,free,0.8486483318234829,SYNTH_000056
female,blue,brown,very_light,medium,long,square,medium,medium,small,wide,medium,medium,medium,wide,medium,round,thick,flat,thin,wide,deep,straight,medium,rounded,some,tans_gradually,large,free,0.88992673992674,SYNTH_000057
female,green,brown,very_light,wide,long,oval,prominent,high,large,medium,medium,medium,medium,wide,small,hooded,thick,high,very_full,wide,medium,curly,fine,rounded,some,tans_gradually,large,attached,0.8215030727110106,SYNTH_000058
female,blue,auburn,light,medium,long,oval,prominent,high,medium,wide,medium,flat,medium,normal,small,round,thick,slight,thin,wide,shallow,wavy,thick,rounded,some,tans_gradually,medium,free,0.8481087649767547,SYNTH_000059
female,blue,brown,light,medium,long,square,medium,medium,small,narrow,medium,high,medium,normal,small,round,thick,high,thin,wide,deep,wavy,medium,rounded,none,tans_gradually,large,attached,0.8876447559178979,SYNTH_000060
female,blue,auburn,dark,wide,short,square,medium,high,small,narrow,wide,medium,medium,normal,medium,almond,medium,slight,full,medium,medium,wavy,medium,rounded,extensive,never_burns,medium,free,0.8264608222761805,SYNTH_000061
female,brown,blonde,very_light,wide,long,oval,medium,low,large,narrow,wide,medium,medium,normal,medium,almond,thick,high,thin,wide,shallow,straight,fine,rounded,some,never_burns,large,attached,0.8499143398748971,SYNTH_000062
male,blue,brown,light,medium,long,square,receding,low,medium,wide,medium,medium,medium,wide,large,round,medium,high,full,wide,medium,wavy,thick,widow_peak,extensive,never_burns,medium,free,0.8577700672856597,SYNTH_000063
female,blue,brown,dark,medium,medium,oval,medium,medium,small,wide,narrow,flat,medium,close,medium,round,thick,slight,very_full,wide,shallow,straight,thick,widow_peak,some,burns_easily,large,free,0.8104817419867342,SYNTH_000064
male,blue,brown,very_light,wide,medium,square,receding,low,medium,wide,wide,high,medium,close,medium,almond,thick,slight,thin,medium,shallow,straight,thick,widow_peak,some,tans_gradually,medium,attached,0.8750168070148349,SYNTH_000065
female,green,brown,very_light,wide,long,square,receding,medium,medium,wide,medium,high,wide,close,small,round,thick,slight,full,narrow,deep,wavy,fine,widow_peak,none,tans_gradually,large,attached,0.8758150555636073,SYNTH_000066
female,green,brown,very_light,medium,short,square,medium,high,large,medium,wide,medium,wide,normal,large,round,medium,slight,full,wide,medium,wavy,thick,rounded,none,burns_easily,medium,free,0.8150878121973895,SYNTH_000067
female,green,brown,very_light,wide,short,square,medium,high,large,wide,medium,medium,medium,wide,medium,round,thick,high,full,wide,deep,wavy,thick,rounded,some,burns_easily,large,free,0.8399520764921974,SYNTH_000068
male,green,blonde,very_light,wide,short,oval,medium,high,medium,wide,medium,medium,medium,wide,large,round,medium,flat,very_full,medium,shallow,wavy,thick,rounded,none,never_burns,medium,free,0.810308028112786,SYNTH_000069
male,blue,brown,light,medium,medium,square,prominent,high,small,wide,medium,high,medium,normal,large,almond,medium,flat,full,wide,shallow,wavy,medium,widow_peak,some,tans_gradually,medium,free,0.8483862447316165,SYNTH_000070
male,blue,brown,very_light,narrow,short,oval,receding,medium,large,medium,wide,medium,wide,normal,small,almond,thick,slight,thin,wide,deep,straight,thick,widow_peak,none,tans_gradually,large,free,0.8646973676309312,SYNTH_000071
female,blue,brown,very_light,narrow,medium,narrow,receding,low,medium,medium,medium,medium,narrow,normal,large,round,thick,flat,full,medium,deep,wavy,medium,straight,extensive,tans_gradually,large,attached,0.8326736611649714,SYNTH_000072
male,blue,brown,very_light,wide,short,square,receding,medium,small,narrow,medium,medium,wide,wide,medium,almond,thick,high,full,medium,shallow,straight,medium,rounded,none,tans_gradually,large,attached,0.8873799523127762,SYNTH_000073
male,blue,black,very_light,wide,medium,square,prominent,high,medium,narrow,medium,high,medium,wide,small,round,thick,high,thin,wide,shallow,wavy,medium,rounded,extensive,burns_easily,large,attached,0.8649548644926434,SYNTH_000074
female,green,brown,light,medium,medium,oval,prominent,medium,medium,medium,narrow,flat,medium,close,small,round,thick,slight,very_full,wide,medium,straight,medium,rounded,some,tans_gradually,large,free,0.8405513991055714,SYNTH_000075
male,blue,brown,light,wide,short,square,medium,medium,large,medium,narrow,high,medium,wide,large,almond,thick,high,very_full,wide,medium,straight,medium,rounded,extensive,tans_gradually,medium,free,0.8737075646048899,SYNTH_000076
female,green,brown,very_light,wide,medium,square,medium,medium,large,medium,medium,medium,medium,normal,small,hooded,medium,flat,very_full,wide,medium,wavy,thick,straight,some,tans_gradually,large,attached,0.8376926263404755,SYNTH_000077
female,blue,brown,very_light,medium,short,square,medium,low,medium,wide,medium,high,medium,wide,medium,round,thick,high,thin,wide,medium,curly,thick,rounded,some,never_burns,large,attached,0.8318010659376369,SYNTH_000078
male,blue,brown,very_light,medium,medium,narrow,medium,low,large,medium,narrow,high,narrow,close,medium,round,thick,high,very_full,wide,deep,straight,thick,rounded,some,never_burns,small,free,0.8387559042433935,SYNTH_000079
male,blue,brown,very_light,wide,medium,square,medium,medium,small,narrow,medium,flat,narrow,normal,large,round,medium,slight,full,wide,medium,curly,medium,rounded,none,never_burns,large,free,0.8178077493127415,SYNTH_000080
female,blue,black,very_light,medium,short,square,medium,medium,large,narrow,wide,medium,medium,wide,medium,round,medium,flat,very_full,wide,shallow,straight,medium,widow_peak,extensive,tans_gradually,large,attached,0.8423879084608777,SYNTH_000081
male,blue,brown,very_light,medium,long,square,prominent,medium,medium,medium,medium,high,medium,wide,medium,round,medium,flat,very_full,wide,medium,wavy,medium,widow_peak,some,never_burns,large,attached,0.8310165880793271,SYNTH_000082
female,blue,brown,very_light,wide,medium,square,receding,high,small,medium,medium,flat,narrow,wide,medium,hooded,thick,slight,thin,wide,medium,wavy,medium,straight,some,tans_gradually,large,free,0.8619558338589524,SYNTH_000083
male,blue,black,very_light,medium,medium,narrow,medium,medium,large,wide,medium,flat,medium,wide,large,almond,thick,high,very_full,medium,deep,straight,medium,widow_peak,some,tans_gradually,large,attached,0.8474831015568105,SYNTH_000084
female,green,brown,very_light,medium,short,square,medium,medium,medium,medium,narrow,high,medium,wide,medium,almond,medium,slight,thin,wide,shallow,curly,medium,rounded,extensive,burns_easily,medium,attached,0.834570359314597,SYNTH_000085
female,blue,brown,very_light,wide,medium,oval,prominent,medium,small,wide,medium,flat,wide,wide,medium,round,thick,slight,full,wide,deep,wavy,thick,rounded,some,tans_gradually,large,free,0.8496838877462569,SYNTH_000086
male,green,brown,dark,wide,short,oval,receding,medium,large,wide,wide,flat,narrow,wide,small,round,thick,slight,full,wide,shallow,straight,thick,straight,some,tans_gradually,large,attached,0.8998224483926444,SYNTH_000087
male,green,brown,very_light,wide,medium,oval,prominent,low,large,medium,narrow,medium,narrow,wide,large,almond,medium,high,full,wide,medium,wavy,fine,straight,extensive,never_burns,large,free,0.8512423085084247,SYNTH_000088
male,green,brown,light,medium,medium,square,medium,medium,medium,medium,wide,medium,wide,wide,medium,round,medium,high,very_full,wide,medium,straight,medium,widow_peak,extensive,tans_gradually,large,free,0.8793077616878924,SYNTH_000089
female,blue,brown,very_light,wide,medium,square,medium,low,large,wide,medium,medium,medium,wide,large,round,thick,high,very_full,wide,deep,straight,thick,rounded,none,burns_easily,large,free,0.8285288338351325,SYNTH_000090
female,green,brown,very_light,medium,medium,oval,prominent,medium,large,wide,medium,high,narrow,wide,medium,round,thin,flat,very_full,wide,deep,straight,medium,widow_peak,extensive,never_burns,large,attached,0.8125442979442734,SYNTH_000091
female,blue,brown,light,medium,medium,narrow,medium,medium,medium,medium,medium,medium,wide,wide,medium,hooded,thick,high,full,wide,deep,wavy,thick,rounded,some,burns_easily,medium,attached,0.8409874709702149,SYNTH_000092
male,blue,brown,light,medium,medium,oval,medium,high,medium,medium,medium,medium,wide,normal,medium,round,medium,slight,thin,wide,medium,curly,fine,straight,extensive,tans_gradually,large,free,0.8290530983184751,SYNTH_000093
male,blue,brown,light,wide,medium,square,medium,high,large,medium,wide,flat,wide,wide,small,round,thick,slight,full,medium,shallow,wavy,medium,rounded,none,tans_gradually,large,attached,0.8940415392159508,SYNTH_000094
female,blue,brown,very_light,narrow,medium,square,medium,medium,medium,narrow,medium,medium,medium,normal,small,round,thick,slight,thin,wide,medium,wavy,fine,rounded,none,tans_gradually,large,free,0.8317367685110814,SYNTH_000095
male,blue,brown,very_light,wide,long,oval,prominent,high,large,medium,wide,flat,medium,wide,medium,round,medium,slight,very_full,wide,shallow,wavy,medium,straight,none,never_burns,medium,attached,0.8396721066571925,SYNTH_000096
male,blue,brown,light,wide,medium,square,prominent,medium,large,medium,wide,medium,medium,wide,large,round,thick,flat,full,medium,deep,wavy,thick,rounded,none,burns_easily,large,free,0.8800280590986865,SYNTH_000097
female,brown,brown,light,medium,short,square,medium,medium,large,medium,medium,medium,wide,normal,medium,round,thick,high,full,wide,medium,wavy,thick,widow_peak,some,never_burns,medium,attached,0.8362903110283859,SYNTH_000098
male,green,brown,very_light,medium,medium,oval,medium,high,large,wide,wide,medium,narrow,wide,small,almond,medium,high,very_full,wide,shallow,straight,medium,widow_peak,some,tans_gradually,large,free,0.8332770164768192,SYNTH_000099
male,blue,brown,very_light,medium,short,oval,prominent,high,small,wide,medium,flat,wide,normal,medium,round,thick,high,full,narrow,medium,wavy,fine,straight,extensive,tans_gradually,medium,attached,0.839799496831421,SYNTH_000100
male,blue,brown,very_light,wide,medium,square,medium,medium,small,narrow,medium,medium,narrow,normal,medium,almond,thick,high,full,wide,medium,wavy,medium,rounded,some,burns_easily,medium,attached,0.847878121303488,SYNTH_000101
female,blue,black,light,wide,long,square,medium,low,medium,narrow,medium,medium,medium,wide,medium,round,medium,slight,full,narrow,medium,wavy,medium,straight,extensive,burns_easily,large,attached,0.855137337018269,SYNTH_000102
male,blue,brown,very_light,wide,short,oval,receding,low,medium,narrow,wide,medium,narrow,wide,medium,hooded,medium,slight,full,medium,medium,curly,medium,widow_peak,extensive,tans_gradually,medium,attached,0.8751685103589455,SYNTH_000103
male,blue,brown,very_light,wide,long,square,receding,medium,large,medium,narrow,flat,narrow,wide,medium,round,thick,slight,full,wide,medium,curly,thick,straight,none,never_burns,small,attached,0.8781499366732943,SYNTH_000104
male,blue,brown,very_light,medium,medium,square,prominent,low,small,wide,wide,medium,medium,wide,small,round,thick,slight,full,medium,medium,straight,thick,straight,some,never_burns,large,free,0.8025353763428459,SYNTH_000105
male,green,brown,very_light,medium,short,square,prominent,high,medium,medium,narrow,medium,narrow,wide,small,hooded,medium,slight,very_full,medium,shallow,wavy,medium,rounded,some,burns_easily,large,free,0.8495782372030369,SYNTH_000106
male,blue,brown,very_light,wide,long,square,receding,medium,large,narrow,medium,medium,narrow,normal,medium,almond,thick,slight,very_full,medium,medium,straight,fine,rounded,extensive,never_burns,large,attached,0.8639414059788768,SYNTH_000107
female,blue,blonde,very_light,medium,medium,oval,receding,high,large,medium,wide,flat,wide,normal,medium,almond,thick,slight,thin,medium,shallow,wavy,medium,rounded,none,tans_gradually,medium,free,0.8325655650073253,SYNTH_000108
male,green,auburn,very_light,medium,medium,oval,medium,medium,medium,medium,medium,flat,medium,wide,large,almond,thick,slight,full,wide,deep,wavy,medium,rounded,none,tans_gradually,large,free,0.8086782706590423,SYNTH_000109
male,blue,brown,light,medium,medium,oval,prominent,high,medium,wide,wide,high,medium,normal,small,almond,medium,high,full,wide,medium,wavy,medium,widow_peak,none,never_burns,medium,attached,0.8509414979339792,SYNTH_000110
male,green,brown,light,wide,medium,square,prominent,medium,medium,wide,medium,medium,medium,wide,small,almond,thick,flat,full,medium,medium,straight,medium,widow_peak,extensive,burns_easily,medium,free,0.8670165215586146,SYNTH_000111
female,blue,brown,very_light,medium,medium,square,receding,medium,medium,medium,medium,high,wide,wide,large,almond,thick,slight,very_full,wide,deep,curly,medium,straight,extensive,tans_gradually,medium,free,0.8377673868922483,SYNTH_000112
female,green,brown,light,wide,long,narrow,prominent,high,medium,medium,medium,high,narrow,wide,medium,hooded,thick,slight,full,wide,medium,straight,thick,rounded,some,burns_easily,large,free,0.817472624886652,SYNTH_000113
male,blue,black,very_light,wide,medium,square,prominent,medium,medium,narrow,narrow,medium,medium,close,medium,round,thick,slight,full,wide,shallow,straight,fine,rounded,some,burns_easily,small,free,0.831789104659806,SYNTH_000114
male,blue,brown,light,wide,long,square,medium,medium,large,medium,medium,medium,wide,close,medium,round,medium,slight,full,wide,deep,wavy,medium,straight,some,burns_easily,large,free,0.7983357672498558,SYNTH_000115
female,blue,brown,light,medium,medium,square,medium,medium,medium,narrow,medium,high,narrow,close,small,hooded,thick,slight,full,medium,deep,curly,medium,widow_peak,some,burns_easily,medium,free,0.8437726119286577,SYNTH_000116
male,green,brown,very_light,medium,short,square,medium,high,large,narrow,medium,medium,medium,wide,small,almond,thick,slight,thin,medium,medium,curly,thick,widow_peak,extensive,tans_gradually,large,free,0.7989212473435326,SYNTH_000117
female,blue,brown,dark,wide,medium,square,receding,medium,medium,wide,narrow,medium,narrow,normal,medium,round,thick,flat,full,wide,deep,straight,thick,rounded,extensive,never_burns,medium,free,0.8501734245047448,SYNTH_000118
female,blue,brown,light,medium,long,oval,receding,medium,medium,medium,wide,medium,wide,normal,small,hooded,thick,slight,full,wide,shallow,wavy,medium,rounded,some,tans_gradually,medium,attached,0.8798157387211993,SYNTH_000119
female,blue,brown,very_light,narrow,medium,square,medium,high,large,medium,narrow,medium,narrow,wide,small,almond,thick,slight,full,wide,shallow,wavy,thick,widow_peak,extensive,never_burns,large,free,0.8579765523929213,SYNTH_000120
female,blue,brown,very_light,medium,long,square,medium,low,small,wide,medium,medium,medium,wide,large,round,thick,high,full,medium,medium,straight,fine,rounded,some,never_burns,large,free,0.8085388706367383,SYNTH_000121
male,green,black,light,wide,long,oval,prominent,medium,medium,wide,medium,flat,wide,wide,medium,hooded,thin,flat,full,wide,deep,wavy,thick,rounded,extensive,tans_gradually,small,free,0.8743652953316456,SYNTH_000122
female,blue,brown,very_light,wide,short,square,prominent,medium,small,medium,wide,medium,medium,wide,small,almond,thick,flat,full,medium,shallow,wavy,medium,rounded,some,burns_easily,large,free,0.8174232987249136,SYNTH_000123
female,green,brown,very_light,wide,medium,square,medium,low,medium,narrow,medium,high,medium,normal,small,round,thick,slight,full,wide,deep,straight,thick,widow_peak,extensive,burns_easily,small,free,0.8370332134414472,SYNTH_000124
female,blue,black,very_light,narrow,short,square,prominent,low,medium,wide,wide,medium,wide,wide,large,round,medium,high,thin,wide,shallow,straight,thick,rounded,some,never_burns,medium,free,0.8459274992370026,SYNTH_000125
female,green,black,very_light,medium,medium,square,prominent,medium,medium,medium,narrow,medium,narrow,wide,medium,almond,thick,slight,very_full,medium,deep,straight,fine,rounded,extensive,tans_gradually,large,free,0.8822600321737509,SYNTH_000126
male,green,brown,very_light,medium,medium,square,medium,medium,small,narrow,narrow,high,medium,normal,medium,round,medium,slight,full,wide,medium,wavy,medium,rounded,some,tans_gradually,large,free,0.9020719587464319,SYNTH_000127
female,blue,brown,very_light,wide,medium,square,prominent,medium,large,medium,wide,medium,narrow,wide,medium,round,thick,high,very_full,medium,deep,straight,medium,rounded,some,tans_gradually,large,free,0.8503691489085302,SYNTH_000128
